Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,NIN,latitude,longitude,facility_type_standardized
Odisha,Bargarh,Jharbandha,Paikmal,Paikamal,primary health centre,Lakhmara,1111423735,21.08618,83.02734,phc
Odisha,Bargarh,Melchhamunda,Padampur,Padmapur (Rajbarsambar),primary health centre,MELCHHAMUNDA,3627673837,21.08692,83.25418,phc
Odisha,Sonepur,Ulunda,Ullunda,Ullunda,primary health centre,Sindhol,8783851325,21.08727,83.8518,phc
Odisha,Sonepur,Dunguripali,Dunguripali,Dunguripalli,primary health centre,Rampur,1565554522,21.09901,83.69378,phc
Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,primary health centre,Bagedia,5251156377,21.10557,84.8203,phc
Odisha,Sambalpur,Charamal,Rairakhol,Rairakhole,primary health centre,Badmal,1111346332,21.1082,84.07736,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Gandturam,4852455841,21.10964,83.84405,phc
Odisha,Jajapur,Kalinganagar,Danagadi,Dangadi,primary health centre,Gobardhanpur,7627377364,21.11454,86.01206,phc
Odisha,Kendujhar,Nandipada,Hatadihi,Hatadihi,primary health centre,Orali,4643715842,21.12172,86.27818,phc
Odisha,Kendujhar,Nandipada,Hatadihi,Hatadihi,primary health centre,Tukuna,8411743746,21.12198,86.226,phc
Odisha,Bhadrak,Bant,Bonth,Bonta,primary health centre,Bonth,8735585344,21.1222,86.32225,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Sialkhandahata,6844266277,21.12272,83.80166,phc
Odisha,Anugul,Kaniha,Kaniha,Kaniha,primary health centre,Biru,8283681248,21.1238,85.18549,phc
Odisha,Sonepur,Binika,Binika,Binika,primary health centre,Bankigiridi,7175682876,21.12428,83.77055,phc
Odisha,Bargarh,Jharbandha,Jharbandh,Jharabandha,primary health centre,Jagdalpur,6261252230,21.12633,82.94293,phc
Odisha,Bhadrak,Bhadrak Rural,Bhadrak,Bhadrak,primary health centre,Ambroli,3114327111,21.12723,86.46865,phc
Odisha,Bhadrak,Bhadrak Rural,Bhadrak,Bhadrak,primary health centre,Ranital,6718426445,21.12926,86.55818,phc
Odisha,Bhadrak,Bhadrak Rural,Bhadrak,Bhadrak,primary health centre,Kaupur,7718681732,21.13021,86.42673,phc
Odisha,Kendujhar,Sainkul,Ghasipura,Ghasipura,primary health centre,Batto,4112886876,21.13084,86.18278,phc
Odisha,Dhenkanal,Parajang,Kankada Had,Kankadahada,primary health centre,Pangatira,1786684264,21.13303,85.35859,phc
Odisha,Anugul,Kaniha,Kaniha,Kaniha,primary health centre,Pabitranagar,3648242281,21.1337,85.16979,phc
Odisha,Bargarh,Bijepur,Bijepur,Bijepur,primary health centre,Kharmunda,5254873861,21.13452,83.4919,phc
Odisha,Bargarh,Melchhamunda,Sohella,Sohela,primary health centre,Birjam,5511186537,21.13554,83.29614,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Resham,3832645836,21.1363,83.68578,phc
Odisha,Bhadrak,Agarpada,Bonth,Bonta,primary health centre,Kadabarang,1552513648,21.14466,86.39944,phc
Odisha,Bargarh,Barapali,Barpali,Barpali,primary health centre,Satlama,3443657675,21.14497,83.61967,phc
Odisha,Bhadrak,Basudebpur,Basudevpur,Basudevpur,primary health centre,Barapur,5666434385,21.14522,86.69933,phc
Odisha,Baleshwar,Similia,Simulia,Simulia,primary health centre,Kahneibindha,3684422763,21.14593,86.65587,phc
Odisha,Kendujhar,Anandapur,Ghasipura,Ghasipura,primary health centre,Khalpal,7754658578,21.1468,85.96894,phc
Odisha,Bhadrak,Basudebpur,Basudevpur,Basudevpur,primary health centre,Eram,6575867467,21.15533,86.79174,phc
Odisha,Kendujhar,Nandipada,Hatadihi,Hatadihi,primary health centre,Mugupur,2845233846,21.15698,86.2005,phc
Odisha,Kendujhar,Ghasipura,Ghasipura,Ghasipura,primary health centre,Deogaon,4311635512,21.16208,86.05002,phc
Odisha,Kendujhar,Telkoi,Telkoi,Telkoi,primary health centre,Raisuan,1388858613,21.16389,85.50448,phc
Odisha,Baleshwar,Similia,Khaira,Khaira,primary health centre,Antara,1111466429,21.16771,86.48164,phc
Odisha,Bhadrak,Basudebpur,Basudevpur,Basudevpur,primary health centre,Baincha,7824666189,21.16948,86.77146,phc
Odisha,Bhadrak,Bant,Bonth,Bonta,primary health centre,Adalpank,2126526173,21.1707,86.32361,phc
Odisha,Anugul,Palalahada,Palalahada,Pallahada,primary health centre,Rajadang,8585758561,21.17201,85.23045,phc
Odisha,Kendujhar,Ghasipura,Anandapur,Anandapur,primary health centre,Panchupalli,4445138821,21.17278,86.17315,phc
Odisha,Bargarh,Barapali,Barpali,Barpali,primary health centre,Tulandi,8824268224,21.17302,83.64829,phc
Odisha,Deogarh,Kundheigola,Reamal,Reamal,primary health centre,Budhapal,8168375460,21.18045,84.8795,phc
Odisha,Baleshwar,Similia,Simulia,Simulia,primary health centre,Ada,7643424273,21.18319,86.53004,phc
Odisha,Baleshwar,Similia,Simulia,Simulia,primary health centre,Balikhand,8337721685,21.18401,86.57867,phc
Odisha,Baleshwar,Similia,Khaira,Khaira,primary health centre,Garsanga,1111467419,21.18585,86.48127,phc
Odisha,Bargarh,Melchhamunda,Sohella,Sohela,primary health centre,Ghess,7512231627,21.18787,83.28323,phc
Odisha,Bargarh,Bheden,Bheden,Bheden,primary health centre,Dhatukpali,3152545616,21.19366,83.86067,phc
