district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
rayagada,426022,Barajakhal,Andirakanch,Rural,4.181136023996339,Covered
ganjam,410823,Pipalapanka,Surada,Rural,4.182512858825259,Covered
deogarh,382708,Belmara,Debagarh,Rural,4.183286744293984,Covered
balangir,421226,Sargigura,Kantabanji,Rural,4.183393109726143,Covered
bargarh,380278,Sardhapali,Sohela,Rural,4.184115784195118,Covered
nuapada,422071,Rundi,Boden,Rural,4.184784380361538,Covered
koraput,429975,Khalapadi,Sunabeda,Rural,4.184993003802807,Covered
mayurbhanj,391254,Dhapada,Sharata,Rural,4.1852099405093615,Covered
bargarh,380138,Gandapali,Gaisilet,Rural,4.185275384880754,Covered
malkangiri,430609,Bagariaguda,Chitrakonda,Rural,4.185461151911103,Covered
kalahandi,423560,Kaskinar,Sadar,Rural,4.185541823933965,Covered
keonjhar,386557,Baragarh,Pandapara,Rural,4.186165205918377,Covered
keonjhar,386323,Tamanga,Kanjipani,Rural,4.186165205918377,Covered
kalahandi,423009,Talabara,Lanjigarh,Rural,4.187689054232726,Covered
kalahandi,423008,Lermunhi,Lanjigarh,Rural,4.187689054232726,Covered
kalahandi,423541,Talapanghakola,Sadar,Rural,4.187689054232726,Covered
kalahandi,423007,Kadamguda,Lanjigarh,Rural,4.187689054232726,Covered
kandhamal,416219,Kangerikia Jangal,Sarangagarh,Rural,4.187838156708375,Covered
kandhamal,416863,Premakia,Nuagaon,Rural,4.187838156708375,Covered
malkangiri,430558,Dasarathapur,Mudulipada,Rural,4.188117262601205,Covered
jajapur,400649,Haribandi,Korai,Rural,4.189193516031961,Covered
jajapur,400646,Routpada,Korai,Rural,4.189193516031961,Covered
sambalpur,382159,Mahakurpali,Jujomura,Rural,4.189706456769567,Covered
koraput,429754,Maliput,Nandapur,Rural,4.190434655493034,Covered
kandhamal,416864,Premakia Jangala,Nuagaon,Rural,4.190724995883595,Covered
bargarh,380456,Ainlapali,Barapali,Rural,4.191061405407494,Covered
sambalpur,382034,Newmanduam,Kisinda,Rural,4.192275655365177,Covered
kandhamal,417224,Judabali,Kotagarh,Rural,4.192629734516085,Covered
keonjhar,385818,Palasapada,Patana,Rural,4.1935121579301535,Covered
sambalpur,381963,Dhuliapali,Jamankira,Rural,4.193729888385636,Covered
anugul,404445,Dangapal,Chhendipada,Rural,4.193904645174703,Covered
boudh,418703,Gundurisahi,Puruna Katak,Rural,4.1951698411541845,Covered
ganjam,410598,Russelkonda,Bhanjanagar,Rural,4.195651182907787,Covered
malkangiri,431096,M P V 56,Podia,Rural,4.196237159736815,Covered
malkangiri,431101,Peruwai,Podia,Rural,4.196237159736815,Covered
kalahandi,422923,Nutanbateli,Lanjigarh,Rural,4.196520645144121,Covered
sambalpur,382103,Betajharan,Kisinda,Rural,4.196669207846333,Covered
jharsuguda,381031,Kutripali,Lakhanpur,Rural,4.1973899783614135,Covered
balangir,421020,Phatamunda,Saintala,Rural,4.197692047084576,Covered
boudh,418552,Meniapaju,Baudh Sadar,Rural,4.198441368688759,Covered
sambalpur,382068,Ganjabahal,Kisinda,Rural,4.201775020640204,Covered
anugul,405059,Nua Arakhakuda,Thakurgarh,Rural,4.20289920670967,Covered
anugul,404616,Barakhol,Kishorenagar,Rural,4.204945867454216,Covered
