district,village_id,name,subdistrict,tru_2011,nearest_dist_km,covered
sundargarh,384725,Fakirmunda,Kamarposh Balang,Rural,4.588728886191424,Covered
cuttack,398671,Purunagopalapur,Kanpur,Rural,4.589037387017427,Covered
mayurbhanj,391000,Adipur,Udala,Rural,4.589147805853477,Covered
kendrapara,395610,Langalabhanja,Rajkanika,Rural,4.589306871851857,Covered
mayurbhanj,387481,Kapili,Tiring,Rural,4.589609192647352,Covered
cuttack,398707,Haripur,Badamba,Rural,4.589762780782008,Covered
bargarh,379877,Surjyamanipur,Jharbandha,Rural,4.590051872522757,Covered
sambalpur,381644,Dalapatpali,Katarbaga,Rural,4.59008907205495,Covered
nayagarh,405635,Gura,Banigochha,Rural,4.590113781511712,Covered
mayurbhanj,388595,Asanabani,Jashipur,Rural,4.59020623856802,Covered
boudh,418049,Brahmani,Manamunda,Rural,4.590417307673683,Covered
sambalpur,382237,Panchphut,Dhama,Rural,4.590456475976218,Covered
mayurbhanj,387895,Kendua,Jharpokharia,Rural,4.590666233222148,Covered
dhenkanal,403218,Tubhinali,Dhenkanal Sadar,Rural,4.590775905402804,Covered
mayurbhanj,388286,Hatnabeda,Rairangpur,Rural,4.590955751369137,Covered
nabarangpur,427748,Kaliaguda,Paparahandi,Rural,4.591029943837207,Covered
sambalpur,381819,Sankarma,Ainthapali,Rural,4.5913992305793005,Covered
keonjhar,386052,Belapasi,Kendujhar Sadar,Rural,4.591470751711894,Covered
mayurbhanj,389110,Rangibhol,Baripada Sadar,Rural,4.592429711714424,Covered
bargarh,380897,Chakuli,Attabira,Rural,4.592463724730377,Covered
rayagada,427027,Tunukhal,Gudari,Rural,4.592618006736736,Covered
gajapati,414898,Elasara,Garabandha,Rural,4.59277661483926,Covered
bhadrak,395572,Harishpur,Bansada,Rural,4.592971521368608,Covered
sambalpur,381623,Lepeikani,Kochinda,Rural,4.5933206774459245,Covered
kendrapara,395602,Kanapur Barha,Rajkanika,Rural,4.593455277769453,Covered
kendrapara,395614,Ostia,Rajkanika,Rural,4.593455277769453,Covered
kendrapara,395611,Matia,Rajkanika,Rural,4.593455277769453,Covered
mayurbhanj,391185,Beldiha,Kaptipada,Rural,4.593560831578772,Covered
mayurbhanj,390551,Mauda,Betanati,Rural,4.5935741553568175,Covered
rayagada,426487,Regeda,Rayagada,Rural,4.594072508557005,Covered
